City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Salalah,OM,17.0151,54.0924,86.09,79,40,2.3,scattered clouds,2022-05-02 04:37:46
60,Dunedin,NZ,-45.8742,170.5036,62.8,60,23,4.0,few clouds,2022-05-02 04:37:46
61,Vermilion,US,40.1667,-87.7506,52.14,74,100,4.61,overcast clouds,2022-05-02 04:37:47
62,Hithadhoo,MV,-0.6,73.0833,85.08,75,100,18.59,overcast clouds,2022-05-02 04:37:47
63,Kurchum,KZ,48.5722,83.6542,71.58,20,100,11.07,light rain,2022-05-02 04:37:48
64,Severodvinsk,RU,64.5635,39.8302,35.71,84,100,7.23,overcast clouds,2022-05-02 04:37:48
65,Half Moon Bay,US,37.4636,-122.4286,58.1,78,75,13.8,mist,2022-05-02 04:37:48
66,Carnarvon,AU,-24.8667,113.6333,82.47,47,1,11.5,clear sky,2022-05-02 04:37:49
67,Hede,CN,33.7681,120.2517,76.71,28,1,9.69,clear sky,2022-05-02 04:37:49
68,Turkmenabat,TM,39.0733,63.5786,73.38,53,0,0.0,clear sky,2022-05-02 04:37:50
69,Kaitangata,NZ,-46.2817,169.8464,58.82,68,53,2.71,broken clouds,2022-05-02 04:37:50
70,Chokurdakh,RU,70.6333,147.9167,28.31,93,44,10.38,scattered clouds,2022-05-02 04:37:51
71,North Bend,US,43.4065,-124.2243,51.85,93,100,4.61,overcast clouds,2022-05-02 04:37:51
72,Sibolga,ID,1.7427,98.7792,79.07,85,99,3.13,overcast clouds,2022-05-02 04:37:51
73,Misratah,LY,32.3754,15.0925,63.45,78,2,24.76,clear sky,2022-05-02 04:37:52
74,Karasjok,NO,69.4719,25.5112,30.69,96,100,9.8,light snow,2022-05-02 04:37:52
75,Karpathos,GR,35.507,27.2132,62.56,88,40,16.11,scattered clouds,2022-05-02 04:37:53
76,Bagotville,AU,-28.9833,153.4167,75.22,71,49,9.53,scattered clouds,2022-05-02 04:37:53
77,Taoudenni,ML,22.6783,-3.9836,74.46,27,8,9.6,clear sky,2022-05-02 04:37:54
78,Adre,TD,13.4667,22.2,81.32,11,70,6.64,broken clouds,2022-05-02 04:37:54
79,Darnah,LY,32.767,22.6367,71.24,43,1,19.46,clear sky,2022-05-02 04:37:54
80,Kapaa,US,22.0752,-159.319,80.58,84,75,19.57,broken clouds,2022-05-02 04:37:55
81,Tateyama,JP,34.9833,139.8667,59.27,64,87,11.12,overcast clouds,2022-05-02 04:37:55
82,Zhigansk,RU,66.7697,123.3711,24.04,72,100,22.08,overcast clouds,2022-05-02 04:37:56
83,Soe,ID,-9.8607,124.284,82.47,45,97,10.51,overcast clouds,2022-05-02 04:37:56
84,Talnakh,RU,69.4865,88.3972,22.21,83,100,12.82,overcast clouds,2022-05-02 04:33:15
85,Hilo,US,19.7297,-155.09,75.27,97,100,6.91,heavy intensity rain,2022-05-02 04:37:10
86,Haimen,CN,23.1935,116.6142,64.29,90,100,12.48,light rain,2022-05-02 04:37:57
87,Verkhoyansk,RU,67.5447,133.385,34.83,90,99,7.31,light snow,2022-05-02 04:37:57
88,Mazyr,BY,52.0495,29.2456,50.0,83,100,8.5,overcast clouds,2022-05-02 04:37:58
89,Kabinda,CD,-6.1333,24.4833,65.53,95,83,3.44,broken clouds,2022-05-02 04:37:58
90,Acarau,BR,-2.8856,-40.12,78.28,85,86,11.68,overcast clouds,2022-05-02 04:37:58
91,Banda Aceh,ID,5.5577,95.3222,87.12,66,89,12.12,overcast clouds,2022-05-02 04:37:59
92,Hirara,JP,24.8,125.2833,68.27,88,75,23.02,light intensity shower rain,2022-05-02 04:37:59
93,Brae,GB,60.3964,-1.353,44.38,76,100,18.72,overcast clouds,2022-05-02 04:38:00
94,Port Elizabeth,ZA,-33.918,25.5701,54.32,88,0,4.61,clear sky,2022-05-02 04:38:00
95,Vaini,TO,-21.2,-175.2,77.16,94,75,9.22,broken clouds,2022-05-02 04:36:52
96,Esperance,AU,-33.8667,121.9,73.24,59,59,12.19,broken clouds,2022-05-02 04:38:00
97,Georgetown,MY,5.4112,100.3354,89.55,67,40,5.75,scattered clouds,2022-05-02 04:36:30
98,Bandarbeyla,SO,9.4942,50.8122,88.0,61,22,10.4,few clouds,2022-05-02 04:38:01
99,Skibbereen,IE,51.55,-9.2667,51.12,91,26,3.6,scattered clouds,2022-05-02 04:38:01
100,Vredendal,ZA,-31.6683,18.5012,65.75,27,0,9.22,clear sky,2022-05-02 04:38:02
101,Hamilton,US,39.1834,-84.5333,57.83,74,0,6.91,clear sky,2022-05-02 04:38:02
102,Tulsipur,NP,28.131,82.2973,90.19,33,32,8.05,scattered clouds,2022-05-02 04:38:03
103,Bluff,NZ,-46.6,168.3333,63.81,73,84,8.59,broken clouds,2022-05-02 04:38:03
104,Castro,BR,-24.7911,-50.0119,59.9,91,62,1.83,broken clouds,2022-05-02 04:38:03
105,Butaritari,KI,3.0707,172.7902,81.93,76,59,12.01,light rain,2022-05-02 04:35:29
