City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hobart,AU,2022-05-02 03:45:12,-42.8794,147.3294,71.02,52,75,24.16
68,Otane,NZ,2022-05-02 03:45:12,-39.8833,176.6333,62.01,69,87,2.42
69,Adre,TD,2022-05-02 03:45:13,13.4667,22.2,79.95,11,68,7.56
70,Dunedin,NZ,2022-05-02 03:45:13,-45.8742,170.5036,62.06,65,8,3.09
71,Alfredo Chaves,BR,2022-05-02 03:45:14,-20.635,-40.7497,69.21,80,0,5.44
72,Bredasdorp,ZA,2022-05-02 03:45:14,-34.5322,20.0403,54.84,94,97,5.21
73,Broome,US,2022-05-02 03:45:15,42.2506,-75.833,56.14,75,100,9.22
74,Nikolskoye,RU,2022-05-02 03:45:15,59.7035,30.7861,40.91,84,68,6.11
75,Garowe,SO,2022-05-02 03:45:16,8.4054,48.4845,79.39,65,90,9.84
76,Arraial Do Cabo,BR,2022-05-02 03:45:16,-22.9661,-42.0278,74.61,77,0,7.38
77,Gwadar,PK,2022-05-02 03:44:31,25.1216,62.3254,84.88,62,0,21.47
78,Selma,US,2022-05-02 03:45:17,36.5708,-119.6121,75.25,40,1,3.65
79,La Ronge,CA,2022-05-02 03:45:17,55.1001,-105.2842,32.25,69,40,3.44
80,Cayenne,GF,2022-05-02 03:45:18,4.9333,-52.3333,81.09,1,0,5.01
81,Borovoy,RU,2022-05-02 03:45:19,55.4333,86.0833,49.28,100,40,6.71
82,Airai,TL,2022-05-02 03:45:19,-8.9266,125.4092,77.02,42,91,5.66
83,San Patricio,US,2022-05-02 03:45:19,28.017,-97.5169,79.9,85,91,15.5
84,Cape Town,ZA,2022-05-02 03:45:20,-33.9258,18.4232,62.11,81,0,4.0
85,Codrington,AU,2022-05-02 03:45:20,-38.2667,141.9667,68.52,50,100,11.65
86,Khani,GE,2022-05-02 03:45:21,41.9563,42.9566,42.37,98,100,1.01
87,Ewa Beach,US,2022-05-02 03:45:21,21.3156,-158.0072,80.55,62,20,19.57
88,Colima,MX,2022-05-02 03:42:49,19.1667,-104.0,63.36,62,62,2.66
89,Vila Velha,BR,2022-05-02 03:45:22,-20.3297,-40.2925,78.75,78,0,8.05
90,Anito,PH,2022-05-02 03:45:22,12.4497,125.2886,85.78,64,81,8.19
91,Lazarev,RU,2022-05-02 03:45:23,52.225,141.5131,32.63,95,94,2.06
92,Port Macquarie,AU,2022-05-02 03:40:27,-31.4333,152.9167,71.89,55,35,7.65
93,Te Anau,NZ,2022-05-02 03:45:23,-45.4167,167.7167,58.48,65,29,5.12
94,Tuktoyaktuk,CA,2022-05-02 03:45:24,69.4541,-133.0374,37.4,75,75,12.66
95,Qaqortoq,GL,2022-05-02 03:45:24,60.7167,-46.0333,37.06,88,99,1.66
96,Komsomolskiy,UZ,2022-05-02 03:45:25,40.4272,71.7189,81.32,32,96,0.0
97,Balkhash,KZ,2022-05-02 03:45:25,46.844,74.9804,74.01,35,0,8.95
98,Tuatapere,NZ,2022-05-02 03:45:25,-46.1333,167.6833,61.48,67,31,5.03
99,Havre-Saint-Pierre,CA,2022-05-02 03:45:26,50.2334,-63.5986,35.96,55,20,5.75
100,Kapaa,US,2022-05-02 03:45:26,22.0752,-159.319,82.38,81,75,20.71
101,Goure,NE,2022-05-02 03:45:27,13.9835,10.2704,82.78,15,34,8.77
102,Vaini,TO,2022-05-02 03:45:27,-21.2,-175.2,80.76,89,75,9.22
103,Dunmore East,IE,2022-05-02 03:45:27,52.1514,-6.9861,48.69,81,63,7.43
104,Khatanga,RU,2022-05-02 03:45:28,71.9667,102.5,23.95,84,98,15.03
105,Nhulunbuy,AU,2022-05-02 03:45:28,-12.2333,136.7667,86.61,58,100,12.66
106,Paamiut,GL,2022-05-02 03:45:29,61.994,-49.6678,30.94,91,89,7.74
107,Edgewater,US,2022-05-02 03:41:07,28.9889,-80.9023,73.49,85,6,6.6
108,Busselton,AU,2022-05-02 03:45:29,-33.65,115.3333,66.72,80,87,10.13
109,Hokitika,NZ,2022-05-02 03:45:30,-42.7167,170.9667,60.93,90,99,4.9
110,Hailun,CN,2022-05-02 03:45:30,47.45,126.9333,57.16,31,74,13.91
111,Carnarvon,AU,2022-05-02 03:43:53,-24.8667,113.6333,87.87,27,1,11.5
112,Alvorada,BR,2022-05-02 03:45:31,-12.48,-49.1247,72.52,67,36,1.5
113,Puerto Ayora,EC,2022-05-02 03:44:49,-0.7393,-90.3518,71.92,91,10,5.61
114,Demidov,RU,2022-05-02 03:45:31,55.2706,31.515,42.67,68,100,4.25
115,Avarua,CK,2022-05-02 03:45:32,-21.2078,-159.775,80.65,78,20,4.61
116,Wilmington,US,2022-05-02 03:43:19,34.2257,-77.9447,71.51,73,0,10.36
117,Salalah,OM,2022-05-02 03:45:32,17.0151,54.0924,84.29,84,40,3.44
118,Bangolo,CI,2022-05-02 03:45:32,7.0069,-7.475,71.92,95,84,1.59
119,Port Hardy,CA,2022-05-02 03:45:03,50.6996,-127.4199,50.18,81,100,2.3
120,Tabou,CI,2022-05-02 03:45:33,4.423,-7.3528,80.08,83,62,4.72
121,Jinka,ET,2022-05-02 03:45:33,5.65,36.65,61.34,93,94,2.75
122,Ahipara,NZ,2022-05-02 03:45:34,-35.1667,173.1667,67.1,64,100,4.88
123,Bereda,ES,2022-05-02 03:45:34,43.2686,-7.5406,52.41,100,99,2.68
124,Miri,MY,2022-05-02 03:45:35,4.4148,114.0089,89.74,79,40,4.61
125,Hilo,US,2022-05-02 03:45:35,19.7297,-155.09,76.28,97,100,3.44
126,Ugoofaaru,MV,2022-05-02 03:45:36,5.6667,73.0,86.04,71,75,16.91
127,Tiksi,RU,2022-05-02 03:45:36,71.6872,128.8694,17.67,79,30,9.86
128,Chokurdakh,RU,2022-05-02 03:45:36,70.6333,147.9167,30.72,93,43,12.5
129,Indianola,US,2022-05-02 03:45:37,41.3581,-93.5574,49.86,72,99,9.48
130,Quzhou,CN,2022-05-02 03:45:37,28.9594,118.8686,69.94,54,91,1.05
131,Srednekolymsk,RU,2022-05-02 03:45:38,67.45,153.6833,33.21,100,100,3.2
132,Aksu,CN,2022-05-02 03:45:38,41.1231,80.2644,70.14,16,5,5.59
133,Shache,CN,2022-05-02 03:45:38,38.4167,77.2406,74.19,12,6,9.17
134,Korla,CN,2022-05-02 03:45:39,41.7597,86.1469,70.66,17,22,15.64
135,Fortuna,US,2022-05-02 03:42:08,40.5982,-124.1573,52.66,83,29,2.19
136,Port Elizabeth,ZA,2022-05-02 03:45:40,-33.918,25.5701,56.32,82,0,2.3
137,Banjar,ID,2022-05-02 03:45:40,-8.19,114.9675,89.51,60,94,4.25
138,Gamboula,CF,2022-05-02 03:45:40,4.1178,15.1393,67.33,82,68,0.6
139,Albertville,US,2022-05-02 03:45:41,34.2676,-86.2089,66.45,83,0,0.0
140,Teguldet,RU,2022-05-02 03:45:41,57.3064,88.1667,42.8,91,100,7.45
141,Westport,US,2022-05-02 03:45:42,41.1415,-73.3579,57.6,72,40,1.01
142,Aksarka,RU,2022-05-02 03:45:42,66.5606,67.7975,21.24,82,26,6.98
143,Grushevskaya,RU,2022-05-02 03:45:43,47.4406,39.9511,47.28,57,0,8.95
144,Talnakh,RU,2022-05-02 03:45:43,69.4865,88.3972,22.21,85,100,11.36
145,Mount Isa,AU,2022-05-02 03:45:44,-20.7333,139.5,85.77,39,23,6.91
146,Puerto El Triunfo,SV,2022-05-02 03:45:44,13.2833,-88.55,85.12,80,86,2.75
147,Salinopolis,BR,2022-05-02 03:45:44,-0.6136,-47.3561,77.34,89,99,5.91
148,Saint-Philippe,RE,2022-05-02 03:45:45,-21.3585,55.7679,74.79,78,0,3.69
149,Chinsali,ZM,2022-05-02 03:45:45,-10.5414,32.0816,55.85,86,52,6.91
150,Lebu,CL,2022-05-02 03:45:46,-37.6167,-73.65,50.81,92,2,13.15
151,Sao Jose Da Coroa Grande,BR,2022-05-02 03:45:46,-8.8978,-35.1478,76.68,86,39,5.3
152,Aklavik,CA,2022-05-02 03:45:46,68.2191,-135.0107,35.49,93,100,11.9
153,Amazar,RU,2022-05-02 03:45:47,53.858,120.875,56.52,50,91,11.27
154,Myitkyina,MM,2022-05-02 03:45:47,25.3833,97.4,87.37,45,46,3.94
155,Kalagarh,IN,2022-05-02 03:45:48,29.5,78.75,94.3,25,73,13.96
156,Bayir,TR,2022-05-02 03:45:48,37.2687,28.2167,54.12,66,100,1.77
157,Pitimbu,BR,2022-05-02 03:45:49,-7.4706,-34.8086,75.79,84,40,7.23
158,Xinzhi,CN,2022-05-02 03:45:49,36.4989,111.7047,74.71,16,24,0.56
159,Olesnica,PL,2022-05-02 03:45:49,51.2134,17.3899,50.56,74,37,2.42
160,Ambikapur,IN,2022-05-02 03:45:50,23.1167,83.2,98.62,16,61,10.42
161,Dingle,PH,2022-05-02 03:45:50,10.9995,122.6711,89.24,53,46,9.33
162,Jinchang,CN,2022-05-02 03:45:51,38.4953,102.1739,60.62,12,0,2.84
163,Dzhebariki-Khaya,RU,2022-05-02 03:45:51,62.2167,135.8,46.42,60,26,9.84
164,Phalombe,MW,2022-05-02 03:45:52,-15.8064,35.6507,56.43,96,15,2.93
165,Kichmengskiy Gorodok,RU,2022-05-02 03:45:52,59.9816,45.7854,34.5,70,65,3.58
166,Cap Malheureux,MU,2022-05-02 03:45:53,-19.9842,57.6142,76.46,76,4,1.99
167,Huautla,MX,2022-05-02 03:45:53,21.0333,-98.2833,73.33,89,99,4.76
168,Yar-Sale,RU,2022-05-02 03:45:54,66.8333,70.8333,18.43,79,14,5.53
169,Severo-Kurilsk,RU,2022-05-02 03:45:54,50.6789,156.125,36.41,86,89,7.34
170,Lyngseidet,NO,2022-05-02 03:45:54,69.5763,20.2189,33.8,89,99,4.92
171,Saint George,US,2022-05-02 03:43:25,37.1041,-113.5841,66.79,27,0,20.71
172,Morro Bay,US,2022-05-02 03:45:55,35.3658,-120.8499,65.93,77,5,1.99
173,Hay River,CA,2022-05-02 03:45:55,60.8156,-115.7999,40.96,65,20,3.44
174,Alvaraes,BR,2022-05-02 03:45:56,-3.2208,-64.8042,73.08,99,100,2.55
175,Bairiki,KI,2022-05-02 03:45:56,1.3292,172.9752,86.0,74,40,8.05
176,Isiolo,KE,2022-05-02 03:45:57,0.3546,37.5822,67.6,76,100,2.55
177,Samarai,PG,2022-05-02 03:45:57,-10.6167,150.6667,83.03,75,38,9.57
178,Esmeraldas,BR,2022-05-02 03:45:57,-19.7625,-44.3139,62.91,61,0,2.51
179,Panguna,PG,2022-05-02 03:45:58,-6.3164,155.4848,76.55,83,97,1.81
180,Ribeira Grande,PT,2022-05-02 03:45:58,38.5167,-28.7,61.88,84,21,1.39
181,Saldanha,ZA,2022-05-02 03:45:59,-33.0117,17.9442,55.45,55,97,6.58
182,Samana,DO,2022-05-02 03:45:59,19.2056,-69.3369,73.33,86,100,6.38
183,Nakhon Phanom,TH,2022-05-02 03:45:31,17.3333,104.4167,67.8,49,99,11.34
184,Nisia Floresta,BR,2022-05-02 03:46:00,-6.0911,-35.2086,77.38,93,33,6.22
185,Sibolga,ID,2022-05-02 03:46:00,1.7427,98.7792,78.89,85,99,2.84
186,Ulaangom,MN,2022-05-02 03:46:00,49.9811,92.0667,68.32,13,93,5.37
187,Silopi,TR,2022-05-02 03:46:01,37.2497,42.4694,62.64,69,93,2.98
188,Batemans Bay,AU,2022-05-02 03:46:01,-35.7167,150.1833,66.09,50,3,7.09
189,Chuy,UY,2022-05-02 03:46:02,-33.6971,-53.4616,53.64,77,50,6.55
190,Iqaluit,CA,2022-05-02 03:46:02,63.7506,-68.5145,22.73,73,75,3.44
191,Arman,RU,2022-05-02 03:46:03,59.7,150.1667,44.02,84,64,4.92
192,Geraldton,AU,2022-05-02 03:46:03,-28.7667,114.6,75.61,38,0,8.05
193,Cidreira,BR,2022-05-02 03:46:04,-30.1811,-50.2056,62.92,76,100,7.45
194,Chardara,KZ,2022-05-02 03:46:05,41.2547,67.9692,73.92,43,100,4.65
195,Poum,NC,2022-05-02 03:46:05,-20.2333,164.0167,79.0,77,28,6.53
196,Qandala,SO,2022-05-02 03:46:06,11.472,49.8728,85.86,69,2,1.68
197,Sokolo,ML,2022-05-02 03:46:06,14.7328,-6.1219,87.31,20,36,4.63
198,Lata,PT,2022-05-02 03:46:07,40.1629,-8.3327,48.97,94,69,3.09
199,Sao Joao Da Barra,BR,2022-05-02 03:46:07,-21.6403,-41.0511,73.53,83,2,9.57
200,Neiafu,TO,2022-05-02 03:46:08,-18.65,-173.9833,84.88,84,75,6.91
201,Kaitangata,NZ,2022-05-02 03:46:08,-46.2817,169.8464,61.59,61,43,3.15
202,Ketchikan,US,2022-05-02 03:42:43,55.3422,-131.6461,45.07,93,100,11.5
203,Singaraja,ID,2022-05-02 03:46:09,-8.112,115.0882,87.58,63,87,3.8
204,Vardo,NO,2022-05-02 03:46:09,70.3705,31.1107,28.87,80,100,14.61
205,Caravelas,BR,2022-05-02 03:46:10,-17.7125,-39.2481,72.54,87,1,3.56
206,Beringovskiy,RU,2022-05-02 03:46:10,63.05,179.3167,21.47,78,25,11.99
207,Pyatnitskoye,RU,2022-05-02 03:46:11,50.4233,37.8273,44.17,58,39,2.89
208,Ilulissat,GL,2022-05-02 03:44:15,69.2167,-51.1,17.62,67,75,3.44
209,Zabaykalsk,RU,2022-05-02 03:46:11,49.6333,117.3167,68.52,27,99,18.28
210,Bhaderwah,IN,2022-05-02 03:46:12,32.9784,75.7186,77.95,29,0,2.33
211,Puerto Escondido,MX,2022-05-02 03:46:12,15.85,-97.0667,82.47,70,91,6.17
212,Myslowice,PL,2022-05-02 03:46:13,50.2075,19.1667,52.43,78,81,3.4
213,Honningsvag,NO,2022-05-02 03:46:13,70.9821,25.9704,28.15,74,100,16.11
214,Maniitsoq,GL,2022-05-02 03:46:14,65.4167,-52.9,24.6,81,94,4.97
215,Daru,PG,2022-05-02 03:46:14,-9.0763,143.2092,82.22,84,62,11.81
216,Torbay,CA,2022-05-02 03:46:15,47.6666,-52.7314,40.57,93,75,3.44
217,Molango,MX,2022-05-02 03:46:15,20.7833,-98.7167,59.85,97,100,1.95
218,Atherton,GB,2022-05-02 03:42:12,53.5237,-2.4935,52.29,92,100,0.2
219,Tambopata,PE,2022-05-02 03:46:16,-12.7333,-69.1833,76.75,74,76,1.54
220,Bengkulu,ID,2022-05-02 03:46:17,-3.8004,102.2655,85.1,63,100,4.74
221,Port Keats,AU,2022-05-02 03:46:17,-14.25,129.55,93.27,35,38,8.3
222,Vao,NC,2022-05-02 03:46:17,-22.6667,167.4833,75.34,87,39,20.49
223,San Cristobal,VE,2022-05-02 03:46:18,7.7669,-72.225,75.38,96,90,3.2
224,Nanortalik,GL,2022-05-02 03:46:18,60.1432,-45.2371,36.19,86,100,0.85
225,North Reading,US,2022-05-02 03:46:19,42.5751,-71.0787,54.97,63,0,5.75
226,Bahir Dar,ET,2022-05-02 03:46:19,11.5936,37.3908,71.82,45,58,4.34
227,Bayangol,RU,2022-05-02 03:46:20,50.6977,103.4656,69.98,14,78,5.75
